recordId,name,parentRecordId,poiId,poiName,faction,rank,title,desc
lingxiao,凌霄宝殿,,lingxiao,凌霄宝殿,天庭,地点,天庭正殿,天庭正殿，玉皇大帝临朝理政之所
yuhuang,玉皇大帝,lingxiao,lingxiao,凌霄宝殿,天庭,天仙·帝君,昊天金阙至尊玉皇上帝,三界之主，天庭行政系统最高长官
wangmu,王母娘娘,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·后妃,瑶池金母·蟠桃掌管者,住在瑶池，掌管蟠桃园和蟠桃胜会
sanqing,三清,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·至尊,道教三清,道统至尊，超越行政权力
yuanshi,元始天尊,sanqing,lingxiao,凌霄宝殿,天庭,天仙·至尊,玉清元始天尊,道教第一神，开天辟地之祖
lingbao,灵宝天尊,sanqing,lingxiao,凌霄宝殿,天庭,天仙·至尊,上清灵宝天尊,三清体系的第二位
taishang,太上老君,sanqing,lingxiao,凌霄宝殿,天庭,天仙·至尊,道德天尊·太上道祖,道教创始人，住在离恨天兜率宫
tiansi,四大天师,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·天师,四大天师,在凌霄殿传达玉帝旨意
zhangdaoling,张道陵,tiansi,lingxiao,凌霄宝殿,天庭,天仙·天师,天师道祖·四大天师之首,道教创始人之一，四大天师之首
gehong,葛洪,tiansi,lingxiao,凌霄宝殿,天庭,天仙·天师,抱朴子·四大天师之二,晋代著名道士、炼丹家
xuxun,许逊,tiansi,lingxiao,凌霄宝殿,天庭,天仙·天师,净明道祖·四大天师之三,晋代道士，传说曾斩蛟除妖
qiuhongji,邱弘济,tiansi,lingxiao,凌霄宝殿,天庭,天仙·天师,四大天师之四,四大天师中最年轻的一位
taibai,太白金星,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·文臣,李长庚·玉帝殿前文臣,天庭中最有职场智慧的神仙，两次建议招安悟空
wujiang,武将系统,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·武将,天庭武将,天庭军事力量
lijing,托塔天王李靖,wujiang,lingxiao,凌霄宝殿,天庭,天仙·武将,降魔大元帅,天庭军事统帅，玲珑宝塔是其标志性法宝
nezha,哪吒,lijing,lingxiao,凌霄宝殿,天庭,天仙·武将,三坛海会大神中坛元帅,天庭最强少年战神，三头六臂
erlang,二郎神杨戬,wujiang,lingxiao,凌霄宝殿,天庭,天仙·战将,二郎显圣真君·玉帝外甥,唯一能与悟空正面单挑不落下风的战将
wanglinguan,王灵官,yuhuang,lingxiao,凌霄宝殿,天庭,天仙·佐使,佑圣真君佐使,仅是佐使却在大闹天宫时于灵霄殿外挡住悟空
tianwang,天王殿,,tianwang,天王殿,天庭,地点,南天门内要隘,南天门内要隘，四大天王率部镇守
tianwang_lijing,托塔天王李靖,tianwang,tianwang,天王殿,天庭,天仙·武将,降魔大元帅,天庭军事统帅
tianwang_nezha,哪吒,tianwang_lijing,tianwang,天王殿,天庭,天仙·武将,中坛元帅,天庭最强少年战神
zhence,侦测系统,tianwang,tianwang,天王殿,天庭,天仙·侦测,侦测系统,情报侦察
qianliyan,千里眼,zhence,tianwang,天王殿,天庭,天仙·侦测,千里眼·高明,能看千里之外
shunfenger,顺风耳,zhence,tianwang,天王殿,天庭,天仙·侦测,顺风耳·高觉,能听千里之外
qixiang,气象系统,tianwang,tianwang,天王殿,天庭,天仙·天象,风雨雷电,天庭气象体系
leigong,雷公,qixiang,tianwang,天王殿,天庭,天仙·天象,掌管雷电,天庭风雨雷电体系的神将
dianmu,电母,qixiang,tianwang,天王殿,天庭,天仙·天象,掌管闪电,天庭风雨雷电体系的女神
fengbo,风伯,qixiang,tianwang,天王殿,天庭,天仙·天象,掌管风,掌管天下之风
yushi,雨师,qixiang,tianwang,天王殿,天庭,天仙·天象,掌管雨,掌管天下之雨
guanghan,广寒宫,,guanghan,广寒宫,天庭,地点,月宫仙境,月宫仙境，传说为嫦娥所居
taiyin,太阴星君,guanghan,guanghan,广寒宫,天庭,天仙·星君,月宫之主·嫦娥,月宫之主
zhubajie_guanghan,猪八戒,taiyin,guanghan,广寒宫,人间,净坛使者,原天蓬元帅,原天蓬元帅，因醉酒调戏嫦娥被贬
chijiao,赤脚大仙,guanghan,guanghan,广寒宫,天庭,天仙,赤脚行走·性格随和,天庭中性格随和的神仙
lingyan,凌烟阁,,lingyan,凌烟阁,天庭,地点,云上琼楼玉宇,东胜神洲一侧缥缈仙凡交界的宫阙
taibai_lingyan,太白金星,lingyan,lingyan,凌烟阁,天庭,天仙·文臣,玉帝殿前文臣,天庭情报总管
riyoushen,日游神,lingyan,lingyan,凌烟阁,天庭,天仙·巡逻,白日巡视,白天巡视三界，记录人间善恶
yeyoushen,夜游神,lingyan,lingyan,凌烟阁,天庭,天仙·巡逻,夜间巡视,夜间巡视三界，记录人间善恶
jilei,积雷山,,jilei,积雷山,妖界,地点,牛魔王旧居,牛魔王与铁扇公主旧居一带
wukong_jilei,孙悟空,jilei,jilei,积雷山,人间,斗战胜佛,齐天大圣,全书第一主角
zhubajie_jilei,猪八戒,jilei,jilei,积雷山,人间,净坛使者,原天蓬元帅,好色贪吃但关键时刻仍能发挥作用
nezha_jilei,哪吒,jilei,jilei,积雷山,天庭,天仙·武将,中坛元帅,降服牛魔王
lijing_jilei,托塔天王李靖,jilei,jilei,积雷山,天庭,天仙·武将,降魔大元帅,率兵征讨牛魔王
wuji,乌鸡国,,wuji,乌鸡国,人间,地点,西境小国,真王被妖道推入御花园井中三年
wukong_wuji,孙悟空,wuji,wuji,乌鸡国,人间,斗战胜佛,齐天大圣,救王辨明正邪
tangseng_wuji,唐僧（玄奘）,wukong_wuji,wuji,乌鸡国,人间,人间·圣僧,金蝉子转世·大唐圣僧,如来二弟子金蝉子转世
zhubajie_wuji,猪八戒,tangseng_wuji,wuji,乌鸡国,人间,净坛使者,原天蓬元帅,二徒弟
shaseng_wuji,沙僧（沙悟净）,tangseng_wuji,wuji,乌鸡国,人间,金身罗汉,原卷帘大将,三徒弟
wenshu,文殊菩萨,wuji,wuji,乌鸡国,灵山,佛教·菩萨,大智文殊,坐骑青毛狮子两次下凡作怪
baihu,白虎岭,,baihu,白虎岭,妖界,地点,白骨精所在,白骨精三次变化诱唐僧
wukong_baihu,孙悟空,baihu,baihu,白虎岭,人间,斗战胜佛,齐天大圣,三打白骨精
tangseng_baihu,唐僧（玄奘）,wukong_baihu,baihu,白虎岭,人间,人间·圣僧,大唐圣僧,被白骨精诱惑
zhubajie_baihu,猪八戒,tangseng_baihu,baihu,白虎岭,人间,净坛使者,原天蓬元帅,挑拨师徒关系
shaseng_baihu,沙僧（沙悟净）,tangseng_baihu,baihu,白虎岭,人间,金身罗汉,原卷帘大将,老实忠厚
guanyin_baihu,观音菩萨,baihu,baihu,白虎岭,灵山,佛教·菩萨,南海观世音,调解师徒矛盾
tudishen_baihu,土地神,baihu,baihu,白虎岭,地府,地府·基层,各地土地公公,悟空最常用的情报来源
gaolao,高老庄,,gaolao,高老庄,人间,地点,猪八戒入赘地,猪八戒曾在此入赘为婿
wukong_gaolao,孙悟空,gaolao,gaolao,高老庄,人间,斗战胜佛,齐天大圣,降妖收八戒
tangseng_gaolao,唐僧（玄奘）,wukong_gaolao,gaolao,高老庄,人间,人间·圣僧,大唐圣僧,收八戒入队
zhubajie_gaolao,猪八戒,tangseng_gaolao,gaolao,高老庄,人间,净坛使者,原天蓬元帅,在此入赘为婿
guanyin_gaolao,观音菩萨,gaolao,gaolao,高老庄,灵山,佛教·菩萨,南海观世音,点化八戒
heifeng,黑风山,,heifeng,黑风山,妖界,地点,黑熊精所在,黑熊精盗走袈裟
wukong_heifeng,孙悟空,heifeng,heifeng,黑风山,人间,斗战胜佛,齐天大圣,讨要袈裟
tangseng_heifeng,唐僧（玄奘）,wukong_heifeng,heifeng,黑风山,人间,人间·圣僧,大唐圣僧,袈裟被盗
guanyin_heifeng,观音菩萨,heifeng,heifeng,黑风山,灵山,佛教·菩萨,南海观世音,收服黑熊精
changan,长安,,changan,长安,人间,地点,大唐国都,大唐国都，玄奘受命西行出发之地
taizong,唐太宗李世民,changan,changan,长安,人间,人间·帝王,大唐天子,因泾河龙王之事游地府
tangseng_changan,唐僧（玄奘）,taizong,changan,长安,人间,人间·圣僧,金蝉子转世·大唐圣僧,取经人
wukong_changan,孙悟空,tangseng_changan,changan,长安,人间,斗战胜佛,齐天大圣,大徒弟
zhubajie_changan,猪八戒,tangseng_changan,changan,长安,人间,净坛使者,原天蓬元帅,二徒弟
shaseng_changan,沙僧（沙悟净）,tangseng_changan,changan,长安,人间,金身罗汉,原卷帘大将,三徒弟
bailongma_changan,白龙马,tangseng_changan,changan,长安,人间,八部天龙,西海三太子,坐骑
guanyin_changan,观音菩萨,changan,changan,长安,灵山,佛教·菩萨,南海观世音,点化取经团队
jinghe,泾河龙王,changan,changan,长安,龙宫,龙族,泾河龙神,因与袁守诚打赌被斩首
yanluowang_changan,阎罗王,changan,changan,长安,地府,地府·第五殿,掌管叫唤大地狱,十殿阎王中最著名
caiguan_changan,判官崔玏,changan,changan,长安,地府,地府·文官,地府判官,修改唐太宗寿命
taoyuan,蟠桃山,,taoyuan,蟠桃山,天庭,地点,蟠桃园所在,王母蟠桃园所在山域
wangmu_taoyuan,王母娘娘,taoyuan,taoyuan,蟠桃山,天庭,天仙·后妃,瑶池金母,掌管蟠桃园
wukong_taoyuan,孙悟空,taoyuan,taoyuan,蟠桃山,人间,斗战胜佛,齐天大圣,大闹蟠桃会
chijiao_taoyuan,赤脚大仙,taoyuan,taoyuan,蟠桃山,天庭,天仙,性格随和,被悟空骗走
aolaic,傲来村,,aolaic,傲来村,人间,地点,傲来国村落,傲来国近海村落
wukong_aolaic,孙悟空,aolaic,aolaic,傲来村,人间,斗战胜佛,齐天大圣,石猴出世传说
donghai_aolaic,东海龙王敖广,aolaic,aolaic,傲来村,龙宫,龙族·海主,东海之主,四海龙王之首
tudishen_aolaic,土地神,aolaic,aolaic,傲来村,地府,地府·基层,土地公公,基层神仙
aolai,傲来国,,aolai,傲来国,人间,地点,花果山所在国,花果山所在国度
wukong_aolai,孙悟空,aolai,aolai,傲来国,人间,斗战胜佛,齐天大圣,在此活动
donghai_aolai,东海龙王敖广,aolai,aolai,傲来国,龙宫,龙族·海主,东海之主,近邻
chenghuang,城隍,aolai,aolai,傲来国,地府,地府·基层,城隍老爷,城市守护神
huaguo,花果山,,huaguo,花果山,人间,地点,美猴王诞生地,十洲祖脉，水帘洞洞天
wukong_huaguo,孙悟空,huaguo,huaguo,花果山,人间,斗战胜佛,齐天大圣,美猴王诞生称王之地
taibai_huaguo,太白金星,huaguo,huaguo,花果山,天庭,天仙·文臣,玉帝殿前文臣,两次招安
lijing_huaguo,托塔天王李靖,huaguo,huaguo,花果山,天庭,天仙·武将,降魔大元帅,率兵征讨
nezha_huaguo,哪吒,huaguo,huaguo,花果山,天庭,天仙·武将,中坛元帅,随父征讨
erlang_huaguo,二郎神杨戬,huaguo,huaguo,花果山,天庭,天仙·战将,二郎显圣真君,擒获悟空
guanyin_huaguo,观音菩萨,huaguo,huaguo,花果山,灵山,佛教·菩萨,南海观世音,推荐二郎神
donghai_huaguo,东海龙王敖广,huaguo,huaguo,花果山,龙宫,龙族·海主,东海之主,被借宝
shuijing,水晶宫,,shuijing,水晶宫,龙宫,地点,东海龙宫,东海龙王居所
donghai,东海龙王敖广,shuijing,shuijing,水晶宫,龙宫,龙族·海主,东海之主,四海龙王之首
xihai,西海龙王敖闰,donghai,shuijing,水晶宫,龙宫,龙族·海主,西海之主,小白龙之父
nanhai,南海龙王敖钦,donghai,shuijing,水晶宫,龙宫,龙族·海主,南海之主,四海龙王之一
beihai,北海龙王敖顺,donghai,shuijing,水晶宫,龙宫,龙族·海主,北海之主,四海龙王之一
wukong_shuijing,孙悟空,shuijing,shuijing,水晶宫,人间,斗战胜佛,齐天大圣,强取金箍棒
lingtai,灵台方寸山,,lingtai,灵台方寸山,天庭,地点,菩提祖师道场,斜月三星洞所在
puti,菩提祖师,lingtai,lingtai,灵台方寸山,天庭,散仙·神秘,悟空之师,西游记最大的谜团
wukong_lingtai,孙悟空,puti,lingtai,灵台方寸山,人间,斗战胜佛,齐天大圣,学艺弟子
putuo,普陀山,,putuo,普陀山,灵山,地点,观音道场,观世音菩萨应化道场
guanyin,观音菩萨,putuo,putuo,普陀山,灵山,佛教·菩萨,南海观世音·大慈大悲,出场最多的佛界角色
wukong_putuo,孙悟空,guanyin,putuo,普陀山,人间,斗战胜佛,齐天大圣,常来求助
tangseng_putuo,唐僧（玄奘）,guanyin,putuo,普陀山,人间,人间·圣僧,大唐圣僧,赐紧箍
zhubajie_putuo,猪八戒,guanyin,putuo,普陀山,人间,净坛使者,原天蓬元帅,
shaseng_putuo,沙僧（沙悟净）,guanyin,putuo,普陀山,人间,金身罗汉,原卷帘大将,
bailongma_putuo,白龙马,guanyin,putuo,普陀山,人间,八部天龙,西海三太子,
youming,幽冥地府,,youming,幽冥地府,地府,地点,十殿阎罗所在,十殿阎罗、生死簿所在
dizang,地藏王菩萨,youming,youming,幽冥地府,灵山,佛教·菩萨,幽冥教主·大愿地藏,地狱不空誓不成佛
shidian,十殿阎王,dizang,youming,幽冥地府,地府,地府·殿主,十殿阎王,掌管地狱各殿
qinguang,秦广王,shidian,youming,幽冥地府,地府,地府·第一殿,第一殿·专司人间寿夭,十殿阎王之首
chujiang,楚江王,shidian,youming,幽冥地府,地府,地府·第二殿,第二殿·掌管活大地狱,
songdi,宋帝王,shidian,youming,幽冥地府,地府,地府·第三殿,第三殿·掌管黑绳大地狱,
wuguan,五官王,shidian,youming,幽冥地府,地府,地府·第四殿,第四殿·掌管合大地狱,
yanluowang,阎罗王,shidian,youming,幽冥地府,地府,地府·第五殿,第五殿·掌管叫唤大地狱,十殿阎王中最著名
biancheng,卞城王,shidian,youming,幽冥地府,地府,地府·第六殿,第六殿·掌管大叫唤大地狱,
taishanwang,泰山王,shidian,youming,幽冥地府,地府,地府·第七殿,第七殿·掌管热恼地狱,
dushiwang,都市王,shidian,youming,幽冥地府,地府,地府·第八殿,第八殿·掌管大热恼地狱,
pingdeng,平等王,shidian,youming,幽冥地府,地府,地府·第九殿,第九殿·掌管阿鼻地狱,最恐怖的一殿
zhuanlun,转轮王,shidian,youming,幽冥地府,地府,地府·第十殿,第十殿·掌管六道轮回,投胎转世
caiguan,判官崔玏,dizang,youming,幽冥地府,地府,地府·文官,地府判官,掌管生死簿
baiwuchang,白无常（谢必安）,dizang,youming,幽冥地府,地府,地府·差役,勾魂使者·白无常,帽上写'一见生财'
heiwuchang,黑无常（范无救）,dizang,youming,幽冥地府,地府,地府·差役,勾魂使者·黑无常,帽上写'天下太平'
niutou,牛头,dizang,youming,幽冥地府,地府,地府·差役,地府狱卒·牛头,人身牛首
mamian,马面,dizang,youming,幽冥地府,地府,地府·差役,地府狱卒·马面,人身马首
wukong_youming,孙悟空,youming,youming,幽冥地府,人间,斗战胜佛,齐天大圣,曾勾销生死簿
taizong_youming,唐太宗李世民,youming,youming,幽冥地府,人间,人间·帝王,大唐天子,曾游地府
jinghe_youming,泾河龙王,youming,youming,幽冥地府,龙宫,龙族,泾河龙神,被斩后告状
wuzhuang,五庄观,,wuzhuang,五庄观,天庭,地点,镇元大仙道场,观内植人参果树
zhenyuan,镇元大仙,wuzhuang,wuzhuang,五庄观,天庭,地仙·至尊,地仙之祖·万寿山五庄观,一招袖里乾坤轻松擒住悟空
wukong_wuzhuang,孙悟空,zhenyuan,wuzhuang,五庄观,人间,斗战胜佛,齐天大圣,推倒人参果树
tangseng_wuzhuang,唐僧（玄奘）,wukong_wuzhuang,wuzhuang,五庄观,人间,人间·圣僧,大唐圣僧,
zhubajie_wuzhuang,猪八戒,wukong_wuzhuang,wuzhuang,五庄观,人间,净坛使者,原天蓬元帅,吃人参果
shaseng_wuzhuang,沙僧（沙悟净）,wukong_wuzhuang,wuzhuang,五庄观,人间,金身罗汉,原卷帘大将,
guanyin_wuzhuang,观音菩萨,wuzhuang,wuzhuang,五庄观,灵山,佛教·菩萨,南海观世音,医树
wanshoushan,万寿山,,wanshoushan,万寿山,天庭,地点,五庄观所倚之山,取"万寿"与人参果延寿之意
zhenyuan_wanshou,镇元大仙,wanshoushan,wanshoushan,万寿山,天庭,地仙·至尊,地仙之祖,
nanjishouxing,南极寿星,wanshoushan,wanshoushan,万寿山,天庭,天仙·散仙,南极仙翁,头上有大肉包的老寿星
chedi,车迟国,,chedi,车迟国,人间,地点,虎鹿羊三仙国,虎力、鹿力、羊力三仙国师弄权
wukong_chedi,孙悟空,chedi,chedi,车迟国,人间,斗战胜佛,齐天大圣,与之斗法求雨
tangseng_chedi,唐僧（玄奘）,wukong_chedi,chedi,车迟国,人间,人间·圣僧,大唐圣僧,
zhubajie_chedi,猪八戒,wukong_chedi,chedi,车迟国,人间,净坛使者,原天蓬元帅,
shaseng_chedi,沙僧（沙悟净）,wukong_chedi,chedi,车迟国,人间,金身罗汉,原卷帘大将,
donghai_chedi,东海龙王敖广,chedi,chedi,车迟国,龙宫,龙族·海主,东海之主,协助降雨
leigong_chedi,雷公,chedi,chedi,车迟国,天庭,天仙·天象,掌管雷电,协助降雨
dianmu_chedi,电母,chedi,chedi,车迟国,天庭,天仙·天象,掌管闪电,协助降雨
fengbo_chedi,风伯,chedi,chedi,车迟国,天庭,天仙·天象,掌管风,协助降雨
yushi_chedi,雨师,chedi,chedi,车迟国,天庭,天仙·天象,掌管雨,协助降雨
zimu,子母河,,zimu,子母河,人间,地点,西梁女国奇水,饮之可致男子受孕
tangseng_zimu,唐僧（玄奘）,zimu,zimu,子母河,人间,人间·圣僧,大唐圣僧,饮水受孕
zhubajie_zimu,猪八戒,zimu,zimu,子母河,人间,净坛使者,原天蓬元帅,饮水受孕
wukong_zimu,孙悟空,zimu,zimu,子母河,人间,斗战胜佛,齐天大圣,求取落胎泉水
guanyin_zimu,观音菩萨,zimu,zimu,子母河,灵山,佛教·菩萨,南海观世音,
ruyi,如意真仙,zimu,zimu,子母河,人间,散仙,落胎泉守护者,牛魔王之弟
huoyan,火焰山,,huoyan,火焰山,妖界,地点,八百里烈火,乃老君炉砖所化
wukong_huoyan,孙悟空,huoyan,huoyan,火焰山,人间,斗战胜佛,齐天大圣,三借芭蕉扇
tangseng_huoyan,唐僧（玄奘）,wukong_huoyan,huoyan,火焰山,人间,人间·圣僧,大唐圣僧,
zhubajie_huoyan,猪八戒,wukong_huoyan,huoyan,火焰山,人间,净坛使者,原天蓬元帅,
shaseng_huoyan,沙僧（沙悟净）,wukong_huoyan,huoyan,火焰山,人间,金身罗汉,原卷帘大将,
taishang_huoyan,太上老君,huoyan,huoyan,火焰山,天庭,天仙·至尊,道德天尊,炉砖所化
guanyin_huoyan,观音菩萨,huoyan,huoyan,火焰山,灵山,佛教·菩萨,南海观世音,
nezha_huoyan,哪吒,huoyan,huoyan,火焰山,天庭,天仙·武将,中坛元帅,降服牛魔王
lijing_huoyan,托塔天王李靖,huoyan,huoyan,火焰山,天庭,天仙·武将,降魔大元帅,降服牛魔王
tudishen_huoyan,土地神,huoyan,huoyan,火焰山,地府,地府·基层,土地公公,情报来源
pingdingshan,平顶山,,pingdingshan,平顶山,妖界,地点,金角银角大王,踞莲花洞
wukong_pingding,孙悟空,pingdingshan,pingdingshan,平顶山,人间,斗战胜佛,齐天大圣,
tangseng_pingding,唐僧（玄奘）,wukong_pingding,pingdingshan,平顶山,人间,人间·圣僧,大唐圣僧,
zhubajie_pingding,猪八戒,wukong_pingding,pingdingshan,平顶山,人间,净坛使者,原天蓬元帅,
shaseng_pingding,沙僧（沙悟净）,wukong_pingding,pingdingshan,平顶山,人间,金身罗汉,原卷帘大将,
taishang_pingding,太上老君,pingdingshan,pingdingshan,平顶山,天庭,天仙·至尊,道德天尊,法宝主人
tudishen_pingding,土地神,pingdingshan,pingdingshan,平顶山,地府,地府·基层,土地公公,情报来源
nver,西梁女国,,nver,西梁女国,人间,地点,举国皆女,女王欲招唐僧为夫
nver_queen,西梁女王,nver,nver,西梁女国,人间,人间·帝王,女儿国国王,欲招唐僧为夫
zhuzi,朱紫国,,zhuzi,朱紫国,人间,地点,国王失魂致病,悟空悬丝诊脉
zhuzi_king,朱紫国王,zhuzi,zhuzi,朱紫国,人间,人间·帝王,朱紫国王,失魂致病
shitou,狮驼岭,,shitou,狮驼岭,妖界,地点,青狮白象大鹏,势力浩大，城一国皆妖
qingzhi,青狮大王,shitou,shitou,狮驼岭,妖界,妖怪·顶级,文殊菩萨坐骑,青毛狮子
baixiang,白象大王,shitou,shitou,狮驼岭,妖界,妖怪·顶级,普贤菩萨坐骑,黄牙老象
dapeng,大鹏金翅雕,shitou,shitou,狮驼岭,灵山,佛教·护法,云程万里鹏·如来舅舅,取经路上最强妖怪
yuhua,玉华州,,yuhua,玉华州,人间,地点,天竺下属州郡,三位王子拜悟空等为师
yuhua_prince1,大王子,yuhua,yuhua,玉华州,人间,人间·王子,玉华州大王子,拜悟空为师
yuhua_prince2,二王子,yuhua,yuhua,玉华州,人间,人间·王子,玉华州二王子,拜八戒为师
yuhua_prince3,三王子,yuhua,yuhua,玉华州,人间,人间·王子,玉华州三王子,拜沙僧为师
jinping,金平府,,jinping,金平府,人间,地点,慈云寺元宵灯会,三只犀牛精假冒佛爷骗香油
jinping_monk,慈云寺僧人,jinping,jinping,金平府,人间,人间·僧人,慈云寺僧人,接待取经团队
tianzhu,天竺国,,tianzhu,天竺国,人间,地点,玉兔假扮公主,欲配唐僧
tianzhu_king,天竺国王,tianzhu,tianzhu,天竺国,人间,人间·帝王,天竺国王,
tianzhu_princess,天竺公主,tianzhu,tianzhu,天竺国,人间,人间·公主,玉兔假扮,抛绣球招亲
taiyin_tianzhu,太阴星君,tianzhu,tianzhu,天竺国,天庭,天仙·星君,月宫之主,收服玉兔
baoxiangguo,宝象国,,baoxiangguo,宝象国,人间,地点,黄袍怪所在,掳百花羞公主
baoxiang_king,宝象国王,baoxiangguo,baoxiangguo,宝象国,人间,人间·帝王,宝象国王,
huangpao,黄袍怪,baoxiangguo,baoxiangguo,宝象国,天庭,天仙·星官,奎木狼,占碗子山波月洞
baihuaxiu,百花羞公主,baoxiangguo,baoxiangguo,宝象国,人间,人间·公主,百花羞公主,被掳
wudidong,无底洞,,wudidong,无底洞,妖界,地点,金鼻白毛老鼠精,自称半截观音
laoshujing,金鼻白毛老鼠精,wudidong,wudidong,无底洞,妖界,妖怪·顶级,托塔天王义女,洞深难测
fulongsi,伏龙寺,,fulongsi,伏龙寺,灵山,地点,原金光寺,佛宝还朝后敕改伏龙寺
fulong_monk,伏龙寺僧人,fulongsi,fulongsi,伏龙寺,人间,人间·僧人,伏龙寺僧人,
xiaoleiyinsi,小雷音寺,,xiaoleiyinsi,小雷音寺,妖界,地点,黄眉老佛所设假雷音,人种袋、金铙困住悟空
huangmei,黄眉老佛,xiaoleiyinsi,xiaoleiyinsi,小雷音寺,灵山,佛教·护法,弥勒座前童子,所设假雷音
miles_fo,弥勒佛,xiaoleiyinsi,xiaoleiyinsi,小雷音寺,灵山,佛教·未来佛,东来佛祖,收回黄眉
lingshan,灵山,,lingshan,灵山,灵山,地点,佛祖说法圣地,凌云渡、彼岸与取经终点
daleiyinsi,大雷音寺,,daleiyinsi,大雷音寺,灵山,地点,如来说法真庭,取经故事正题收束之处
rulai,如来佛祖,daleiyinsi,daleiyinsi,大雷音寺,灵山,佛教·至尊,释迦牟尼佛·西天大雷音寺,西游记绝对实力的天花板
